ID,Ime,Godine,Grad,Prosek,Datum_upisa,Datum_diplomiranja,ESPB,Email,Telefon,Trajanje_studija,Godina_upisa
225,Petar,30,Nis,9.0,,2025-07-01,0,marko@yahoo.com,,,
226,Marko,22,nepoznat,9.0,,2024-07-01,0,student@uni.rs,+381601234567,,
228,nepoznat,24,Kragujevac,6.0,,2025-07-01,240,marko@yahoo.com,,,
229,Ana,20,Nis,10.0,,,119,marko@yahoo.com,+381612345678,,
230,nepoznat,25,Nis,9.0,,,119,jelena@hotmail.com,+381612345678,,
232,Ana,21,Nis,6.0,2017-09-10,,180,marko@yahoo.com,+381641234567,,2017.0
234,Nikola,20,Nis,9.107142857142858,2017-09-10,,180,marko@yahoo.com,+381612345678,,2017.0
236,Nikola,24,nepoznat,10.0,2020-11-01,2023-06-15,119,student@uni.rs,+381612345678,2.6191780821917807,2020.0
239,nepoznat,30,nepoznat,9.0,2018-09-15,,180,jelena@hotmail.com,,,2018.0
242,nepoznat,22,nepoznat,8.0,2017-09-10,2024-07-01,60,ana@gmail.com,,6.810958904109589,2017.0
244,nepoznat,29,Novi Sad,7.5,2019-10-01,,119,student@uni.rs,,,2019.0
245,Jelena,23,Nis,10.0,2020-11-01,,240,jelena@hotmail.com,,,2020.0
250,Ana,20,nepoznat,10.0,2020-11-01,,119,marko@yahoo.com,+381601234567,,2020.0
251,Nikola,23,nepoznat,8.0,2020-11-01,,119,student@uni.rs,,,2020.0
253,nepoznat,28,Novi Sad,6.0,2018-09-15,2023-06-15,180,ana@gmail.com,,4.750684931506849,2018.0
259,Petar,26,Nis,9.0,2019-10-01,,119,marko@yahoo.com,+381641234567,,2019.0
262,Marija,27,nepoznat,7.5,,,240,student@uni.rs,,,
263,Milica,20,Novi Sad,6.0,2019-10-01,2025-07-01,0,marko@yahoo.com,,5.7534246575342465,2019.0
265,nepoznat,20,nepoznat,9.107142857142858,,2023-06-15,119,student@uni.rs,+381601234567,,
266,Petar,29,nepoznat,9.107142857142858,,,240,student@uni.rs,+381641234567,,
267,Marko,27,nepoznat,9.0,,2024-07-01,180,student@uni.rs,+381641234567,,
269,Nikola,23,Novi Sad,9.0,2019-10-01,,240,marko@yahoo.com,+381612345678,,2019.0
270,nepoznat,23,Novi Sad,9.0,,,119,student@uni.rs,+381612345678,,
271,nepoznat,25,Kragujevac,9.107142857142858,2019-10-01,,119,student@uni.rs,,,2019.0
272,Jelena,26,Kragujevac,9.107142857142858,2017-09-10,,119,jelena@hotmail.com,,,2017.0
278,Ivana,29,Nis,9.0,2018-09-15,2024-07-01,240,marko@yahoo.com,+381601234567,5.7972602739726025,2018.0
280,Petar,20,Nis,8.0,2017-09-10,,119,jelena@hotmail.com,+381601234567,,2017.0
284,Ivana,24,Nis,10.0,2017-09-10,,119,student@uni.rs,+381601234567,,2017.0
285,Jelena,25,Nis,8.0,2020-11-01,2021-05-20,60,ana@gmail.com,+381641234567,0.547945205479452,2020.0
286,nepoznat,24,nepoznat,9.0,2020-11-01,2025-07-01,119,ana@gmail.com,,4.6657534246575345,2020.0
287,Ana,28,nepoznat,9.107142857142858,2020-11-01,,119,student@uni.rs,,,2020.0
288,Jovan,29,Nis,9.107142857142858,2017-09-10,2021-05-20,120,student@uni.rs,,3.6931506849315068,2017.0
289,nepoznat,28,Nis,9.0,2017-09-10,2023-06-15,240,student@uni.rs,+381612345678,5.764383561643836,2017.0
290,Nikola,29,Novi Sad,9.0,,,119,marko@yahoo.com,+381601234567,,
291,Marko,27,Novi Sad,9.0,,2021-05-20,0,ana@gmail.com,+381641234567,,
292,Jelena,29,nepoznat,9.0,2018-09-15,,60,student@uni.rs,+381612345678,,2018.0
293,Ana,28,Novi Sad,9.0,,,119,marko@yahoo.com,+381601234567,,
295,Stefan,29,Novi Sad,8.0,2020-11-01,2024-07-01,240,marko@yahoo.com,,3.665753424657534,2020.0
296,nepoznat,27,Nis,9.0,2020-11-01,,60,ana@gmail.com,,,2020.0
299,nepoznat,29,Nis,7.5,2019-10-01,,120,ana@gmail.com,,,2019.0
300,Stefan,30,Nis,8.0,,,119,marko@yahoo.com,,,
301,nepoznat,24,nepoznat,9.107142857142858,2018-09-15,2021-05-20,120,jelena@hotmail.com,,2.6794520547945204,2018.0
303,Ana,21,Nis,6.0,2017-09-10,2021-05-20,60,ana@gmail.com,,3.6931506849315068,2017.0
304,Ivana,27,Beograd,9.107142857142858,2017-09-10,2023-06-15,120,student@uni.rs,,5.764383561643836,2017.0
305,Stefan,22,nepoznat,9.0,2017-09-10,,0,marko@yahoo.com,,,2017.0
306,nepoznat,23,Nis,9.0,2018-09-15,2023-06-15,120,student@uni.rs,,4.750684931506849,2018.0
307,Marko,24,Novi Sad,9.0,2018-09-15,,119,student@uni.rs,+381641234567,,2018.0
308,Petar,26,Nis,6.0,2018-09-15,,180,student@uni.rs,,,2018.0
309,Milica,29,Nis,7.5,,2023-06-15,240,student@uni.rs,,,
310,Jelena,28,Nis,6.0,,2021-05-20,119,student@uni.rs,+381641234567,,
312,Ivana,22,Nis,9.0,2017-09-10,,119,ana@gmail.com,,,2017.0
313,Stefan,23,nepoznat,9.0,2018-09-15,,60,ana@gmail.com,+381601234567,,2018.0
315,Jovan,20,Beograd,8.0,2020-11-01,2021-05-20,119,marko@yahoo.com,,0.547945205479452,2020.0
316,Jelena,26,Nis,8.0,,2021-05-20,119,jelena@hotmail.com,+381641234567,,
318,Marija,24,Beograd,7.5,2017-09-10,,60,marko@yahoo.com,+381601234567,,2017.0
320,Ana,22,nepoznat,6.0,2020-11-01,2024-07-01,119,ana@gmail.com,,3.665753424657534,2020.0
321,nepoznat,24,Nis,10.0,2017-09-10,2025-07-01,119,student@uni.rs,+381612345678,7.810958904109589,2017.0
325,Nikola,24,Nis,9.0,,,119,jelena@hotmail.com,,,
327,nepoznat,25,nepoznat,10.0,2019-10-01,,119,student@uni.rs,+381641234567,,2019.0
328,Nikola,24,nepoznat,9.0,2019-10-01,,120,ana@gmail.com,,,2019.0
329,Nikola,22,Kragujevac,6.0,2017-09-10,2021-05-20,119,jelena@hotmail.com,,3.6931506849315068,2017.0
330,Ivana,24,Kragujevac,10.0,,2024-07-01,119,marko@yahoo.com,,,
331,Ivana,26,Novi Sad,10.0,,,120,student@uni.rs,,,
332,Marko,30,Novi Sad,9.0,,2023-06-15,119,student@uni.rs,+381641234567,,
334,Stefan,28,nepoznat,9.0,,2023-06-15,240,jelena@hotmail.com,,,
335,nepoznat,25,Novi Sad,6.0,2020-11-01,2024-07-01,120,ana@gmail.com,,3.665753424657534,2020.0
339,Marko,25,Nis,9.0,,,119,ana@gmail.com,+381641234567,,
340,Marko,28,Nis,6.0,2019-10-01,,119,ana@gmail.com,,,2019.0
343,Marija,26,Nis,10.0,2017-09-10,2021-05-20,0,jelena@hotmail.com,,3.6931506849315068,2017.0
345,nepoznat,21,Kragujevac,6.0,2018-09-15,2023-06-15,119,ana@gmail.com,,4.750684931506849,2018.0
347,Marija,29,Kragujevac,7.5,2017-09-10,2024-07-01,60,marko@yahoo.com,+381641234567,6.810958904109589,2017.0
349,nepoznat,20,Novi Sad,9.0,2017-09-10,2023-06-15,180,student@uni.rs,+381612345678,5.764383561643836,2017.0
353,Marija,30,Nis,10.0,2017-09-10,,60,student@uni.rs,,,2017.0
354,Ana,26,Novi Sad,6.0,2017-09-10,2023-06-15,119,ana@gmail.com,+381601234567,5.764383561643836,2017.0
356,Marija,24,Nis,6.0,,,119,jelena@hotmail.com,+381641234567,,
358,Nikola,22,Novi Sad,8.0,2017-09-10,,60,student@uni.rs,+381601234567,,2017.0
363,Stefan,26,Nis,9.107142857142858,2020-11-01,2021-05-20,240,jelena@hotmail.com,+381612345678,0.547945205479452,2020.0
365,nepoznat,25,Kragujevac,8.0,2018-09-15,2024-07-01,180,jelena@hotmail.com,,5.7972602739726025,2018.0
368,Ana,24,Nis,8.0,,,60,marko@yahoo.com,+381601234567,,
372,Petar,28,nepoznat,10.0,2018-09-15,,119,student@uni.rs,,,2018.0
374,Nikola,20,Novi Sad,9.0,2020-11-01,2024-07-01,240,ana@gmail.com,,3.665753424657534,2020.0
377,Nikola,28,Nis,10.0,2019-10-01,,0,jelena@hotmail.com,+381601234567,,2019.0
378,Milica,26,Beograd,10.0,,2025-07-01,0,marko@yahoo.com,+381612345678,,
379,Jovan,23,Nis,10.0,2019-10-01,,119,jelena@hotmail.com,,,2019.0
380,Jovan,20,Novi Sad,9.0,,,240,jelena@hotmail.com,,,
382,Marko,24,Novi Sad,6.0,2018-09-15,,0,ana@gmail.com,+381612345678,,2018.0
383,Jovan,21,Nis,10.0,,,60,jelena@hotmail.com,+381641234567,,
384,Milica,24,Kragujevac,7.5,2018-09-15,2024-07-01,60,student@uni.rs,+381612345678,5.7972602739726025,2018.0
386,Ana,24,Kragujevac,9.0,2017-09-10,,119,student@uni.rs,+381612345678,,2017.0
390,nepoznat,25,Beograd,8.0,2018-09-15,,0,ana@gmail.com,,,2018.0
391,Nikola,27,Novi Sad,9.0,2019-10-01,2021-05-20,119,student@uni.rs,,1.6356164383561644,2019.0
392,Marija,21,Kragujevac,9.107142857142858,2017-09-10,,119,ana@gmail.com,,,2017.0
393,Nikola,22,Beograd,9.0,,,119,student@uni.rs,,,
396,Marija,20,Beograd,9.107142857142858,,2025-07-01,60,marko@yahoo.com,+381641234567,,
398,nepoznat,22,Novi Sad,9.107142857142858,2020-11-01,2021-05-20,180,student@uni.rs,+381612345678,0.547945205479452,2020.0
399,Stefan,25,Kragujevac,9.0,2019-10-01,,119,student@uni.rs,+381641234567,,2019.0
404,nepoznat,21,Nis,9.0,2020-11-01,2023-06-15,240,student@uni.rs,+381641234567,2.6191780821917807,2020.0
405,Milica,25,nepoznat,6.0,2018-09-15,2021-05-20,0,marko@yahoo.com,,2.6794520547945204,2018.0
406,nepoznat,20,Kragujevac,9.107142857142858,2017-09-10,,60,marko@yahoo.com,+381612345678,,2017.0
407,Petar,22,Novi Sad,9.0,2017-09-10,,0,ana@gmail.com,+381612345678,,2017.0
411,Nikola,23,Novi Sad,9.107142857142858,2020-11-01,,119,ana@gmail.com,+381641234567,,2020.0
414,Marija,24,Nis,6.0,2019-10-01,,119,ana@gmail.com,+381601234567,,2019.0
415,nepoznat,29,Nis,6.0,2017-09-10,,119,ana@gmail.com,+381601234567,,2017.0
416,Jovan,23,Nis,9.0,2017-09-10,,60,student@uni.rs,,,2017.0
418,Marko,20,Nis,8.0,,,180,ana@gmail.com,,,
419,Nikola,20,Nis,9.107142857142858,2019-10-01,2021-05-20,180,marko@yahoo.com,,1.6356164383561644,2019.0
420,nepoznat,28,Kragujevac,6.0,2018-09-15,2024-07-01,240,marko@yahoo.com,+381612345678,5.7972602739726025,2018.0
421,Milica,26,Beograd,9.107142857142858,,2023-06-15,120,jelena@hotmail.com,,,
423,Marija,25,Nis,9.107142857142858,,,0,student@uni.rs,,,
425,Jovan,28,Novi Sad,6.0,2017-09-10,,119,jelena@hotmail.com,+381641234567,,2017.0
426,Jelena,26,Kragujevac,7.5,2020-11-01,,180,marko@yahoo.com,+381641234567,,2020.0
427,Milica,24,Nis,7.5,2019-10-01,,119,student@uni.rs,,,2019.0
428,Petar,20,Nis,8.0,,,119,jelena@hotmail.com,+381601234567,,
430,Milica,27,Nis,10.0,,,119,student@uni.rs,+381612345678,,
432,Milica,22,nepoznat,9.0,,,60,ana@gmail.com,+381641234567,,
434,nepoznat,20,Kragujevac,8.0,2020-11-01,2023-06-15,180,ana@gmail.com,,2.6191780821917807,2020.0
436,Nikola,24,nepoznat,6.0,,,60,student@uni.rs,+381641234567,,
437,Marko,22,Novi Sad,6.0,2019-10-01,2023-06-15,120,marko@yahoo.com,,3.706849315068493,2019.0
439,Nikola,25,Kragujevac,9.0,2020-11-01,2025-07-01,180,marko@yahoo.com,,4.6657534246575345,2020.0
440,Ivana,24,nepoznat,8.0,2019-10-01,2025-07-01,119,student@uni.rs,+381601234567,5.7534246575342465,2019.0
441,Stefan,23,nepoznat,9.0,2017-09-10,,60,ana@gmail.com,+381641234567,,2017.0
443,nepoznat,27,Nis,8.0,2019-10-01,2024-07-01,60,student@uni.rs,,4.7534246575342465,2019.0
445,nepoznat,20,Novi Sad,7.5,2019-10-01,,0,marko@yahoo.com,,,2019.0
449,Nikola,23,nepoznat,9.0,2020-11-01,,119,marko@yahoo.com,+381601234567,,2020.0
451,Milica,25,nepoznat,6.0,,2021-05-20,180,jelena@hotmail.com,+381601234567,,
455,Jovan,20,nepoznat,8.0,2017-09-10,,119,student@uni.rs,,,2017.0
456,Stefan,24,Kragujevac,8.0,,,60,ana@gmail.com,,,
457,Petar,24,Novi Sad,6.0,2017-09-10,,60,jelena@hotmail.com,+381601234567,,2017.0
459,Petar,23,Nis,10.0,2020-11-01,2025-07-01,119,student@uni.rs,,4.6657534246575345,2020.0
460,nepoznat,21,Kragujevac,9.107142857142858,,2021-05-20,180,ana@gmail.com,+381612345678,,
462,Petar,25,Beograd,10.0,2017-09-10,,119,marko@yahoo.com,,,2017.0
464,Stefan,20,Novi Sad,9.0,2017-09-10,2023-06-15,119,student@uni.rs,+381641234567,5.764383561643836,2017.0
466,Ana,21,nepoznat,9.107142857142858,2017-09-10,,119,student@uni.rs,,,2017.0
469,Petar,28,Nis,9.107142857142858,,2024-07-01,119,ana@gmail.com,,,
470,Jovan,24,Nis,6.0,2018-09-15,2025-07-01,119,ana@gmail.com,,6.7972602739726025,2018.0
472,Marko,30,nepoznat,9.0,,,180,ana@gmail.com,,,
